experiment_id,dataset,seed,rank,eta,observable_policy,accuracy,macro_f1,runtime_seconds,entanglement_entropy_proxy,did_interaction_delta,pareto_utility_J_eta
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.0,greedy_operator_optimized,0.8527777777777777,0.8518402994579779,0.09105896949768066,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.25,fixed_pauli_subset,0.7972222222222223,0.795485179939724,0.10544085502624512,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.25,greedy_operator_optimized,0.7916666666666666,0.7896361531105235,0.09454512596130371,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.5,fixed_pauli_subset,0.7972222222222223,0.795485179939724,0.10754132270812988,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.5,greedy_operator_optimized,0.7916666666666666,0.7896361531105235,0.11547660827636719,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.75,fixed_pauli_subset,0.7916666666666666,0.7909159073237915,0.10815286636352539,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.75,greedy_operator_optimized,0.7777777777777778,0.7768785136786917,0.10751461982727051,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,1.0,fixed_pauli_subset,0.7638888888888888,0.7625131975323293,0.060463666915893555,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,1.0,greedy_operator_optimized,0.75,0.7488422122244474,0.11169743537902832,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.0,did_summary,,,,0.0,0.0,0.8507207833396063
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.25,did_summary,,,,0.2,-0.002777777777777879,0.7896668068567911
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.5,did_summary,,,,0.4,-0.002777777777777879,0.7894364873568217
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,0.75,did_summary,,,,0.6000000000000001,-0.011111111111111072,0.7756211029158698
