experiment_id,dataset,seed,rank,model,accuracy,macro_f1,negative_log_likelihood,ece_15bin,brier_score,runtime_seconds,wall_clock_seconds,peak_memory_mb
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,qrc_ent,0.925,0.9244004828833312,0.20517565267976082,0.04053084787563532,0.10147559597859271,0.10616350173950195,0.10616350173950195,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,esn,0.8555555555555555,0.8504556009900721,0.4841716176117641,0.10642057598246382,0.22038932953371324,0.045067548751831055,0.045067548751831055,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,random_feature_reservoir,0.9166666666666666,0.9137278766876795,0.4973107901607796,0.2307499095407084,0.2015177148129637,0.12998461723327637,0.12998461723327637,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,rbf_kernel,0.8972222222222223,0.8941966517956139,0.5230930535459873,0.21959660273267703,0.21617908792707227,0.2097785472869873,0.2097785472869873,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,rff_ridge,0.8888888888888888,0.8852473406303087,0.7125104061596895,0.31992514997586463,0.2940059810344616,0.17072772979736328,0.17072772979736328,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,logistic_pca,0.8805555555555555,0.8780014865947099,0.3410038366976654,0.06694834452916106,0.16070950459674593,0.08195209503173828,0.08195209503173828,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,mlp,0.8722222222222222,0.8673752259159677,0.43950428678088005,0.09860403505072057,0.2010419732193658,0.05269622802734375,0.05269622802734375,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,8,qrc_nonent,0.925,0.9222889321788251,0.24214482043263624,0.043035351060803154,0.11541144893342883,0.02007436752319336,0.02007436752319336,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,qrc_ent,0.9555555555555556,0.9554086299351339,0.18117257614955282,0.0474070809138517,0.08260956065645163,0.09347915649414062,0.09347915649414062,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,esn,0.5333333333333333,0.5275405117682744,1.4032980136230495,0.13228811690907255,0.6275181796066392,0.07680249214172363,0.07680249214172363,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,random_feature_reservoir,0.5138888888888888,0.5139158741060099,1.6298670203588221,0.20084585880502773,0.6824922525539799,0.09840822219848633,0.09840822219848633,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,rbf_kernel,0.8666666666666667,0.8751550607280592,1.5256660669759239,0.6039915250623898,0.6454422739970708,0.2547726631164551,0.2547726631164551,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,rff_ridge,0.33055555555555555,0.3305471350899254,1.9871561670772415,0.10054982347421287,0.8081956577007563,0.2135148048400879,0.2135148048400879,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,logistic_pca,0.95,0.9503176856793194,0.18475044969945117,0.038081237934976156,0.08823912937636356,0.084014892578125,0.084014892578125,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,mlp,0.9472222222222222,0.94738096915378,0.2422114986364581,0.10913702689089555,0.09620087623926252,0.060425519943237305,0.060425519943237305,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,16,qrc_nonent,0.95,0.9500759763257911,0.17589344230618112,0.029875606111495423,0.08355914881101213,0.03106689453125,0.03106689453125,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,qrc_ent,0.9416666666666667,0.9414429907349067,0.20372787749892338,0.04133168127680813,0.09538732388640143,0.10043215751647949,0.10043215751647949,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,esn,0.31666666666666665,0.31042513012948275,1.967263858324807,0.07051100849556828,0.8158874012750128,0.10413932800292969,0.10413932800292969,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,random_feature_reservoir,0.2222222222222222,0.2210963410799085,2.1639887198151184,0.0388144290109215,0.8656282780501433,0.10348200798034668,0.10348200798034668,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,rbf_kernel,0.6722222222222223,0.7200461036565412,2.1352392098826516,0.5477452726444557,0.8561468659710252,0.13193321228027344,0.13193321228027344,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,rff_ridge,0.1388888888888889,0.13544066588882064,2.3189360284248584,0.05047155248753708,0.9049133314057394,0.11000847816467285,0.11000847816467285,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,logistic_pca,0.9555555555555556,0.9556938657477183,0.15321490484016828,0.04342117420722782,0.07114235712988186,0.028792619705200195,0.028792619705200195,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,mlp,0.9527777777777777,0.95283223402961,0.2394439435384811,0.10475090171403009,0.09283661288975313,0.05688357353210449,0.05688357353210449,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,24,qrc_nonent,0.95,0.9499936749036136,0.1777850798708481,0.05286066108913462,0.08186329737599142,0.03589892387390137,0.03589892387390137,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,qrc_ent,0.9333333333333333,0.932868707428768,0.23002593430541185,0.0477049218236748,0.10248465693335156,0.10320734977722168,0.10320734977722168,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,esn,0.25555555555555554,0.2512633805541672,2.101721532483947,0.03526739474470821,0.8499656091947727,0.1691455841064453,0.1691455841064453,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,random_feature_reservoir,0.11944444444444445,0.1166404343723689,2.3795299156017173,0.07711064237699101,0.9161935154198403,0.08891844749450684,0.08891844749450684,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,rbf_kernel,0.36666666666666664,0.40161442670648606,2.273876515729194,0.262691246377512,0.8937283675953441,0.25986194610595703,0.25986194610595703,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,rff_ridge,0.1111111111111111,0.1103850311110585,2.3630170143934857,0.07091195775622955,0.913184631776223,0.1243448257446289,0.1243448257446289,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,logistic_pca,0.9638888888888889,0.9640665274831767,0.12578534117843496,0.03729376957524248,0.05817241371324534,0.08342909812927246,0.08342909812927246,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,mlp,0.9611111111111111,0.9612108135728882,0.2127448428084258,0.10509823595002193,0.07893649579636933,0.06051015853881836,0.06051015853881836,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,32,qrc_nonent,0.9333333333333333,0.933717116543616,0.24544432064708868,0.04121441469497822,0.11262825065983913,0.07683467864990234,0.07683467864990234,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,qrc_ent,0.875,0.8752252654425456,0.39414929470771015,0.06269702122882062,0.18411051521904684,0.1072390079498291,0.1072390079498291,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,esn,0.2,0.19889869071347757,2.275704575590776,0.03523786147262391,0.8887375304260547,0.22412681579589844,0.22412681579589844,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,random_feature_reservoir,0.10555555555555556,0.1073843743522273,2.4178243298931554,0.09280546187456588,0.9240748978096829,0.10714840888977051,0.10714840888977051,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,rbf_kernel,0.1388888888888889,0.08660736178740057,2.300864343543018,0.03778424807670461,0.8996424179370484,0.2138838768005371,0.2138838768005371,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,rff_ridge,0.11388888888888889,0.11350612758694871,2.402285028719226,0.07254385308292977,0.9206477668549765,0.2045426368713379,0.2045426368713379,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,logistic_pca,0.9472222222222222,0.9474480142228725,0.15510834772182133,0.04814144162800675,0.0758642769292553,0.04959607124328613,0.04959607124328613,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,mlp,0.9527777777777777,0.9534368828951288,0.26508213177833934,0.11480325471850442,0.10264322080945491,0.07452559471130371,0.07452559471130371,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,7,48,qrc_nonent,0.9083333333333333,0.9074527527267253,0.3340403609087709,0.06442774337377455,0.15059864573694692,0.11684489250183105,0.11684489250183105,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,11,8,qrc_ent,0.9416666666666667,0.9412478654786579,0.19120348611741783,0.04759891656406489,0.08963820891146561,0.11557841300964355,0.11557841300964355,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,11,8,esn,0.8333333333333334,0.8314536096959102,0.5241307803036973,0.10246133803409357,0.2459476606974382,0.046222686767578125,0.046222686767578125,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST_PROXY,11,8,random_feature_reservoir,0.9194444444444444,0.9200926673955149,0.5349526582943632,0.26454705250976973,0.2178272108786817,0.07501506805419922,0.07501506805419922,0.0
