experiment_id,dataset,seed,rank,model,accuracy,macro_f1,negative_log_likelihood,ece_15bin,brier_score,runtime_seconds,wall_clock_seconds,peak_memory_mb
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,qrc_ent,0.7694444444444445,0.7663786113442933,0.6479687812847529,0.07220721159863513,0.3091228942777048,0.10356712341308594,0.10356712341308594,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,esn,0.7194444444444444,0.7161771497254055,0.8385546983326649,0.09381802823484772,0.3842327594868716,0.05104184150695801,0.05104184150695801,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,random_feature_reservoir,0.7722222222222223,0.7692800038163002,0.904643923912188,0.2414959495939963,0.3969862776725652,0.10751938819885254,0.10751938819885254,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,rbf_kernel,0.7888888888888889,0.7856088614083102,0.8860743462231206,0.27234585758017993,0.3907077333956222,0.3248019218444824,0.3248019218444824,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,rff_ridge,0.6916666666666667,0.6919664993391056,1.200215526400814,0.2762022724889751,0.5212950636273977,0.17196989059448242,0.17196989059448242,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,logistic_pca,0.775,0.7713298122598078,0.7011473116877819,0.057479041709648016,0.3320486743382026,0.05979108810424805,0.05979108810424805,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,mlp,0.7638888888888888,0.7606651066729325,0.7472017933674698,0.09942211710533909,0.3513580315658184,0.05340099334716797,0.05340099334716797,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,8,qrc_nonent,0.7861111111111111,0.7824867186287696,0.6343799024203263,0.04804491996291047,0.30333446492512867,0.03429055213928223,0.03429055213928223,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,qrc_ent,0.8166666666666667,0.8145559763401138,0.569789282917941,0.036555527692359674,0.2612731291990029,0.10109639167785645,0.10109639167785645,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,esn,0.46944444444444444,0.4571359715848473,1.6648167630677266,0.11167697798775711,0.7083852921763265,0.0881659984588623,0.0881659984588623,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,random_feature_reservoir,0.4027777777777778,0.3999583256667979,1.8142327131376623,0.12259741550287562,0.755027959168264,0.08928942680358887,0.08928942680358887,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,rbf_kernel,0.7138888888888889,0.7193019414011567,1.7624458940597691,0.5021080098420517,0.7319456915528649,0.2289741039276123,0.2289741039276123,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,rff_ridge,0.2638888888888889,0.2597490813048868,2.0399356353092366,0.061522926652739424,0.8233824019967153,0.16807818412780762,0.16807818412780762,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,logistic_pca,0.8222222222222222,0.8208608479085043,0.6159829074689193,0.03423531728557719,0.2737644272818686,0.08266925811767578,0.08266925811767578,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,mlp,0.825,0.8234385862964588,0.6271705928719207,0.10306601304354995,0.2834538567653693,0.06260299682617188,0.06260299682617188,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,16,qrc_nonent,0.825,0.8243037312241412,0.5495301585532448,0.051034083069796274,0.2588267592536637,0.021458864212036133,0.021458864212036133,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,24,qrc_ent,0.8027777777777778,0.8021395504297603,0.5824081154627797,0.0367080845262828,0.2719795449463882,0.11339092254638672,0.11339092254638672,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,24,esn,0.3055555555555556,0.28781954719099145,1.9933318490377379,0.059829300502041986,0.8144400407153853,0.15424346923828125,0.15424346923828125,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,24,random_feature_reservoir,0.20833333333333334,0.19864871230758313,2.1955430686222845,0.052147826742572435,0.8613029101507499,0.13642239570617676,0.13642239570617676,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,24,rbf_kernel,0.5027777777777778,0.5491221575210415,2.1012339709530057,0.35990929250935444,0.8367855872425767,0.26331114768981934,0.26331114768981934,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,7,24,rff_ridge,0.2,0.1912418110297298,2.2259719813330787,0.06449464481065333,0.8679118091469658,0.14903712272644043,0.14903712272644043,0.0
